model,layer,probe,dataset_name,data_config,task,acc,class_accs,class_names
CLIP,layer_2,MLP,RAVEN,center_single,Size,0.455,"[0.1621, 0.7854, 0.784, 0.0761]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_2,MLP,RAVEN,in_center_single_out_center_single,Size_1,0.369,"[0.0, 0.7411, 0.5611, 0.1654]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_2,MLP,RAVEN,in_center_single_out_center_single,Type_1,0.343,"[1.0, 0.0, 0.0]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_2,MLP,RAVEN,in_center_single_out_center_single,Type_0,0.458,"[0.0, 0.6657, 0.679]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_2,MLP,RAVEN,in_center_single_out_center_single,Size_0,0.4655,"[0.3325, 0.6114, 0.5217]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_2,MLP,RAVEN,in_center_single_out_center_single,Color_1,0.2435,"[0.0, 0.0, 1.0, 0.0]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_2,MLP,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
DINOv3,layer_0,linear,RAVEN,center_single,Color,0.2445,"[0.0, 0.0, 0.0, 1.0]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_0,linear,RAVEN,center_single,Type,0.336,"[1.0, 0.0, 0.0]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_0,linear,RAVEN,center_single,Size,0.243,"[0.0, 0.0, 1.0, 0.0]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_0,linear,RAVEN,in_center_single_out_center_single,Size_1,0.2665,"[0.0, 1.0, 0.0, 0.0]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_0,linear,RAVEN,in_center_single_out_center_single,Type_1,0.343,"[1.0, 0.0, 0.0]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_0,linear,RAVEN,in_center_single_out_center_single,Type_0,0.3505,"[0.0, 0.0, 1.0]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_0,linear,RAVEN,in_center_single_out_center_single,Size_0,0.392,"[0.0, 0.0, 1.0]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_0,linear,RAVEN,in_center_single_out_center_single,Color_1,0.2435,"[0.0, 0.0, 1.0, 0.0]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_0,linear,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
DINOv3,layer_0,MLP,RAVEN,center_single,Color,0.2425,"[0.0, 0.0, 1.0, 0.0]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_0,MLP,RAVEN,center_single,Type,0.3355,"[0.0, 0.0, 1.0]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_0,MLP,RAVEN,center_single,Size,0.253,"[1.0, 0.0, 0.0, 0.0]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_0,MLP,RAVEN,in_center_single_out_center_single,Size_1,0.2665,"[0.0, 1.0, 0.0, 0.0]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_0,MLP,RAVEN,in_center_single_out_center_single,Type_1,0.343,"[1.0, 0.0, 0.0]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_0,MLP,RAVEN,in_center_single_out_center_single,Type_0,0.3505,"[0.0, 0.0, 1.0]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_0,MLP,RAVEN,in_center_single_out_center_single,Size_0,0.392,"[0.0, 0.0, 1.0]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_0,MLP,RAVEN,in_center_single_out_center_single,Color_1,0.2435,"[0.0, 0.0, 1.0, 0.0]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_0,MLP,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
DINOv3,layer_10,linear,RAVEN,center_single,Color,0.675,"[0.8418, 0.3613, 0.7938, 0.6748]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_10,linear,RAVEN,center_single,Type,0.833,"[0.9182, 0.7002, 0.8778]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_10,linear,RAVEN,center_single,Size,0.5145,"[0.2747, 0.5996, 0.6481, 0.5391]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_10,linear,RAVEN,in_center_single_out_center_single,Size_1,0.4505,"[0.5746, 0.5666, 0.5459, 0.1308]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
DINOv3,layer_10,linear,RAVEN,in_center_single_out_center_single,Type_1,0.614,"[0.5321, 0.5266, 0.7869]","['Constant', 'Progression', 'Distribute_Three']"
DINOv3,layer_10,linear,RAVEN,in_center_single_out_center_single,Type_0,0.795,"[0.826, 0.7504, 0.8088]","['Constant', 'Progression', 'Distribute_Three']"
